a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-4
accountsservice 0.6.55-3
acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-serif-jp-fonts 2.000-1
adwaita-icon-theme 41.0-1
akonadi 21.12.1-1
akonadi-calendar 21.12.1-1
akonadi-calendar-tools 21.12.1-1
akonadi-contacts 21.12.1-1
akonadi-import-wizard 21.12.1-1
akonadi-mime 21.12.1-1
akonadi-notes 21.12.1-1
akonadi-search 21.12.1-1
akonadiconsole 21.12.1-1
akregator 21.12.1-1
alsa-card-profiles 1:0.3.43-1
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
analitza 21.12.1-1
aom 3.2.0-1
appstream 0.15.1-2
appstream-qt 0.15.1-2
apr 1.7.0-3
apr-util 1.6.1-9
arandr 0.1.10-7
archlinux-appstream-data 20220107-1
archlinux-keyring 20211028-1
argon2 20190702-4
ark 21.12.1-1
arm-none-eabi-binutils 2.37-1
arm-none-eabi-gcc 11.2.0-1
arm-none-eabi-gdb 11.1-2
arm-none-eabi-newlib 4.1.0-1
artikulate 21.12.1-1
asciidoc 9.1.1-4
at-spi2-atk 2.38.0-1
at-spi2-core 2.42.0-1
atk 2.36.0-1
attica 5.89.0-1
attr 2.5.1-1
audiocd-kio 21.12.1-1
audiofile 0.3.6-6
audit 3.0.6-5
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
avogadro-crystals 1.0.1-1
avogadro-molecules 1.0.0-1
avogadrolibs 1.95.1-7
avogadrolibs-qt5 1.95.1-7
aws-cli-v2-bin 2.4.7-1
baloo 5.89.0-1
baloo-widgets 21.12.1-1
base 2-2
bash 5.1.012-1
bat 0.18.3-1
bc 1.07.1-4
betterlockscreen 4.0.3-2
biber 1:2.16-1
binutils 2.36.1-3
bison 3.8.2-1
bitwarden 1.30.0-1
bitwarden-cli 1.20.0-1
bitwarden-rofi-git 0.4.r21.62c95af-1
black-hole-solver 1.10.1-1
blinken 21.12.1-1
bluedevil 1:5.23.5-1
blueman 2.2.3-2
bluez 5.62-1
bluez-libs 5.62-1
bluez-qt 5.89.0-1
bluez-utils 5.62-1
bolt 0.9.1-1
bomber 21.12.1-1
boost 1.78.0-1
boost-libs 1.78.0-1
bovo 21.12.1-1
